Date,Close
2016-01-01,401.9
2016-01-04,377.05
2016-01-05,374.45
2016-01-06,365.9
2016-01-07,343.55
2016-01-08,353.35
2016-01-11,360.2
2016-01-12,355.0
2016-01-13,364.6
2016-01-14,354.3
2016-01-15,341.3
2016-01-18,340.2
2016-01-19,354.15
2016-01-20,342.25
2016-01-21,328.55
2016-01-22,339.5
2016-01-25,332.6
2016-01-27,337.05
2016-01-28,334.2
2016-01-29,336.9
2016-02-01,338.5
2016-02-02,329.55
2016-02-03,320.3
2016-02-04,325.5
2016-02-05,337.1
2016-02-08,323.5
2016-02-09,310.65
2016-02-10,291.55
2016-02-11,276.35
2016-02-12,298.35
2016-02-15,317.25
2016-02-16,301.15
2016-02-17,310.15
2016-02-18,314.0
2016-02-19,318.2
2016-02-22,318.85
2016-02-23,318.55
2016-02-24,306.3
2016-02-25,298.2
2016-02-26,301.8
2016-02-29,299.7
2016-03-01,315.35
2016-03-02,317.1
2016-03-03,336.7
2016-03-04,343.5
2016-03-08,346.05
2016-03-09,347.7
2016-03-10,348.5
2016-03-11,354.25
2016-03-14,366.45
2016-03-15,360.4
2016-03-16,359.55
2016-03-17,360.9
2016-03-18,366.05
2016-03-21,374.7
2016-03-22,377.2
2016-03-23,377.0
2016-03-28,363.3
2016-03-29,372.45
2016-03-30,388.6
2016-03-31,386.6
2016-04-01,379.65
2016-04-04,388.4
2016-04-05,370.5
2016-04-06,376.7
2016-04-07,375.2
2016-04-08,371.45
2016-04-11,386.65
2016-04-12,395.8
2016-04-13,408.75
2016-04-18,407.35
2016-04-20,404.1
2016-04-21,411.5
2016-04-22,417.0
2016-04-25,412.2
2016-04-26,419.05
2016-04-27,418.55
2016-04-28,411.35
2016-04-29,408.35
2016-05-02,407.7
2016-05-03,409.65
2016-05-04,381.8
2016-05-05,391.15
2016-05-06,398.7
2016-05-09,403.35
2016-05-10,388.95
2016-05-11,379.85
2016-05-12,387.05
2016-05-13,389.95
2016-05-16,392.7
2016-05-17,389.7
2016-05-18,384.85
2016-05-19,386.9
2016-05-20,384.45
2016-05-23,381.75
2016-05-24,389.1
2016-05-25,397.0
2016-05-26,399.25
2016-05-27,403.9
2016-05-30,421.25
2016-05-31,459.65
2016-06-01,449.2
2016-06-02,453.45
2016-06-03,453.95
2016-06-06,460.5
2016-06-07,463.05
2016-06-08,466.15
2016-06-09,467.15
2016-06-10,456.95
2016-06-13,444.25
2016-06-14,448.4
2016-06-15,452.1
2016-06-16,454.35
2016-06-17,464.4
2016-06-20,482.05
2016-06-21,484.9
2016-06-22,472.7
2016-06-23,487.95
2016-06-24,449.4
2016-06-27,448.95
2016-06-28,440.4
2016-06-29,447.25
2016-06-30,459.25
2016-07-01,457.9
2016-07-04,469.5
2016-07-05,460.9
2016-07-07,455.15
2016-07-08,466.3
2016-07-11,484.6
2016-07-12,484.3
2016-07-13,481.1
2016-07-14,486.1
2016-07-15,494.0
2016-07-18,492.65
2016-07-19,499.25
2016-07-20,493.9
2016-07-21,491.05
2016-07-22,507.2
2016-07-25,509.0
2016-07-26,503.25
2016-07-27,510.1
2016-07-28,506.85
2016-07-29,503.2
2016-08-01,508.25
2016-08-02,493.3
2016-08-03,478.4
2016-08-04,500.0
2016-08-05,516.4
2016-08-08,514.8
2016-08-09,513.8
2016-08-10,503.45
2016-08-11,503.25
2016-08-12,516.8
2016-08-16,507.6
2016-08-17,510.4
2016-08-18,512.05
2016-08-19,510.0
2016-08-22,503.95
2016-08-23,504.0
2016-08-24,498.35
2016-08-25,493.85
2016-08-26,503.75
2016-08-29,525.3
2016-08-30,529.0
2016-08-31,537.7
2016-09-01,543.65
2016-09-02,549.85
2016-09-06,588.7
2016-09-07,587.4
2016-09-08,584.2
2016-09-09,573.25
2016-09-12,553.45
2016-09-14,560.5
2016-09-15,557.55
2016-09-16,548.7
2016-09-19,554.45
2016-09-20,548.45
2016-09-21,549.9
2016-09-22,558.45
2016-09-23,553.05
2016-09-26,535.3
2016-09-27,531.95
2016-09-28,540.0
2016-09-29,526.3
2016-09-30,534.85
2016-10-03,540.8
2016-10-04,549.95
2016-10-05,559.65
2016-10-06,551.45
2016-10-07,565.7
2016-10-10,562.05
2016-10-13,544.85
2016-10-14,556.1
2016-10-17,547.55
2016-10-18,554.25
2016-10-19,550.5
2016-10-20,546.85
2016-10-21,544.5
2016-10-24,559.8
2016-10-25,553.8
2016-10-26,530.05
2016-10-27,522.0
2016-10-28,537.0
2016-10-30,531.95
2016-11-01,530.6
2016-11-02,513.3
2016-11-03,510.2
2016-11-04,512.3
2016-11-07,506.35
2016-11-08,540.2
2016-11-09,533.5
2016-11-10,533.7
2016-11-11,507.3
2016-11-15,457.4
2016-11-16,458.45
2016-11-17,472.85
2016-11-18,471.25
2016-11-21,456.95
2016-11-22,464.85
2016-11-23,471.5
2016-11-24,452.95
2016-11-25,452.35
2016-11-28,454.7
2016-11-29,459.85
2016-11-30,459.3
2016-12-01,448.2
2016-12-02,432.9
2016-12-05,439.3
2016-12-06,441.1
2016-12-07,445.35
2016-12-08,461.55
2016-12-09,464.1
2016-12-12,454.4
2016-12-13,470.65
2016-12-14,472.35
2016-12-15,463.2
2016-12-16,473.15
2016-12-19,471.8
2016-12-20,473.15
2016-12-21,468.5
2016-12-22,469.6
2016-12-23,465.65
2016-12-26,457.85
2016-12-27,466.95
2016-12-28,463.35
2016-12-29,470.9
2016-12-30,472.0
2017-01-02,487.05
2017-01-03,481.1
2017-01-04,486.65
2017-01-05,502.15
2017-01-06,497.75
2017-01-09,500.15
